Date,Open,High,Low,Close,Volume
13/01/2025 16:00:00,233.53,234.67,229.72,234.4,49630725
14/01/2025 16:00:00,234.75,236.12,232.47,233.28,39435294
15/01/2025 16:00:00,234.64,238.96,234.43,237.87,39831969
16/01/2025 16:00:00,237.35,238.01,228.03,228.26,71759052
17/01/2025 16:00:00,232.12,232.29,228.48,229.98,68488301
21/01/2025 16:00:00,224,224.42,219.38,222.64,98070429
22/01/2025 16:00:00,219.79,224.12,219.79,223.83,64126500
23/01/2025 16:00:00,224.74,227.03,222.3,223.66,60234760
24/01/2025 16:00:00,224.78,225.63,221.41,222.78,54697907
27/01/2025 16:00:00,224.02,232.15,223.98,229.86,94863418
28/01/2025 16:00:00,230.85,240.19,230.81,238.26,75707569
29/01/2025 16:00:00,234.12,239.86,234.01,239.36,45486100
30/01/2025 16:00:00,238.67,240.79,237.21,237.59,55658279
31/01/2025 16:00:00,247.19,247.19,233.44,236,101075128
03/02/2025 16:00:00,229.99,231.83,225.7,228.01,73063301
04/02/2025 16:00:00,227.25,233.13,226.65,232.8,45067301
05/02/2025 16:00:00,228.53,232.67,228.27,232.47,39664989
06/02/2025 16:00:00,231.29,233.8,230.43,233.22,29925349
07/02/2025 16:00:00,232.6,234,227.26,227.63,39707224
10/02/2025 16:00:00,229.57,230.59,227.2,227.65,33115645
11/02/2025 16:00:00,228.2,235.23,228.13,232.62,53718362
12/02/2025 16:00:00,231.2,236.96,230.68,236.87,45243292
13/02/2025 16:00:00,236.91,242.34,235.57,241.53,53614054
14/02/2025 16:00:00,241.25,245.55,240.99,244.6,40896227
18/02/2025 16:00:00,244.15,245.18,241.84,244.47,48822491
19/02/2025 16:00:00,244.66,246.01,243.16,244.87,32204215
20/02/2025 16:00:00,244.94,246.78,244.29,245.83,32316907
21/02/2025 16:00:00,245.95,248.69,245.22,245.55,53197431
24/02/2025 16:00:00,244.93,248.86,244.42,247.1,51326396
25/02/2025 16:00:00,248,250,244.91,247.04,48013272
26/02/2025 16:00:00,244.33,244.98,239.13,240.36,44433564
27/02/2025 16:00:00,239.41,242.46,237.06,237.3,41153639
